"Q1 2017","million employees"
"Agriculture and Fishing",0.43
"Food and Drink Manufacturing",0.39
"Food and Drink Wholesaling",0.23
"Food and Drink Retailing",1.13
"Non-Residential Catering",1.76
"Total food sector",3.52
"Total agri-food sector",3.95
