2017,£ billion
Agriculture and Fishing,£9.0bn
Food and Drink Manufacturing,£28.8bn
Food and Drink Wholesaling,£12.0bn
Food and Drink Retailing,£29.8bn
Non-Residential Catering,£32.4bn
Total,£112.0bn
